,id,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
id,1.0,0.009280852572677372,-0.003667275801688539,-0.00686364983103271,0.0019158477732073235,0.0022937056588903854,-0.005807672035218262,-0.0027579572975496313,0.003168650639151561,0.0011366983730641486,-0.00346754279658954,-9.562711206903782e-06,0.00669982345651098,-0.0006885598089111307,0.0058094068493055075,-0.0025339632571751256,-0.005754513015746705,0.0029694367431010883,-0.0044159224551299685,-0.0027479805138630126,-0.002162514892123262,0.0006043408878385177,-0.009383088124628436,-0.005930419699045158,-0.00399963091646439,-0.0023048886305501834,-0.0003104797514625248,0.003885287596820262,-0.008169342262341102,-0.0022464309168230097,-0.0047532199822727045,-0.0011771570745088664,0.00021307363433261984,-0.0030798466258012878,-0.0012233236101143454,0.0009634559069674875,0.001909797326029678,0.0015825750915826448
Marital status,0.009280852572677372,1.0,0.320333783894735,-0.11393114915137319,0.0220514316597451,-0.32293141765066596,0.0849555592854268,-0.03978356882979448,0.005428766878797319,0.19801293004960996,0.14507004444069194,0.09401562788536415,0.05559604292951197,-0.042980422165125445,-0.21523874383706007,-0.011498658788449178,0.04830476060747434,-0.1096453205653239,0.031403563367435786,-0.07526593733262385,0.3793255175805333,-0.0035950156517053898,0.04097438446378134,0.008444401036934201,0.00926135409508616,-0.10735757086295007,-0.10518510351079399,0.023482955991645127,0.03832391587223386,-0.005287776531367709,-0.02093410894943143,-0.11160310229408486,-0.11185929588685936,0.026089075187391897,-0.03429659072262999,0.01999997082208924,-0.04589630549667924,-0.12377488454380342
Application mode,-0.003667275801688539,0.320333783894735,1.0,-0.23709161561097183,0.03917085450333165,-0.3669922856218556,0.4184975766990737,-0.06622997684912585,0.0018403728017768967,0.17359224624409242,0.10975888032394861,0.053213802872655945,0.04686189858244804,-0.09213647054729249,-0.3262284061716775,-0.012776668206286985,0.15521229174816686,-0.22000029546963362,0.2425273966964398,-0.20728085254755793,0.6443726930013168,-0.00010292815675335758,0.15384647300674548,0.032827115766414776,0.0937773028078606,-0.2578252339023364,-0.2555158447427873,0.030525757944801626,0.1414579538539334,0.0018559188725338447,0.03975360499176424,-0.28433052605867687,-0.27943040682174425,0.04229744225059844,0.0924894091678753,0.00798624802269641,-0.06972842815376293,-0.32961223173169996
Application order,-0.00686364983103271,-0.11393114915137319,-0.23709161561097183,1.0,0.05323838454412396,0.14746281541765804,-0.15578914108239827,-0.006179131928461317,-0.016383159005216964,-0.06272024218959173,-0.046462177216441795,-0.03364190755912703,-0.029670052064094524,-0.028190924286169178,0.34846877571759605,0.006352013804113156,-0.059093461325367636,0.06514670038899312,-0.12214025404323174,0.09300498009033568,-0.28831065472818024,-0.016586225068179004,-0.07374138594772325,0.10975695964032631,-0.031038133397771495,0.14327412418655036,0.09731499175933561,-0.01831210026882307,-0.06696278752466693,0.15058335771762887,-0.0064772329761755894,0.1668567421846274,0.10629273825532848,-0.020188925523166954,-0.06566081587305515,-0.00469004853204977,0.03193347043281743,0.1291282722854315
Course,0.0019158477732073235,0.0220514316597451,0.03917085450333165,0.05323838454412396,1.0,-0.04065272631132696,-0.012734943876663393,-0.0562277011734435,-0.018322742782750086,0.015509118589061177,0.020558196962722573,3.5710939984207376e-05,0.016042775572299193,-0.07833853977954829,-0.0676956354941852,-0.013269786081096578,-0.021247086118585994,0.01761820989851017,-0.10674253151279206,0.04361998406346179,0.0028537781487613517,-0.014657484413223808,-0.06774637731360551,0.5727973225140373,0.3232720998741024,0.25739724421096394,0.34156374947859713,0.012091375700990033,-0.06622914125515399,0.6096227519247279,0.3241127053184093,0.24692800322251174,0.3139540200597668,0.017694939531477417,-0.002159311807522693,0.005332950455471053,0.024970266047071896,0.15558512112466527
Daytime/evening attendance,0.0022937056588903854,-0.32293141765066596,-0.3669922856218556,0.14746281541765804,-0.04065272631132696,1.0,-0.05834951219229778,0.07156925532835333,0.00578449707374121,-0.19985525027570378,-0.14822412095800933,-0.07392776410073974,-0.02843902767393841,0.019831872563926194,0.24340991266596992,0.014649938766706536,-0.028212805275676496,0.09975766679347003,-0.07646276574549295,0.10505776350447996,-0.4148828176671182,0.009125732341292454,-0.07927984007397679,0.032060528808752584,-0.008173152880654464,0.11656921026646154,0.11153905009560458,0.023763038580918074,-0.07188662378008469,0.06026481308823951,0.02350645967302651,0.1216748415306447,0.1117083155646109,-0.014304042146163416,0.06374076883951772,-0.045691648898642655,0.03809309586927454,0.125168104276289
Previous qualification,-0.005807672035218262,0.0849555592854268,0.4184975766990737,-0.15578914108239827,-0.012734943876663393,-0.05834951219229778,1.0,0.10913466649928501,-0.009903204684394417,0.001670250168161133,-0.0029591451572878666,-0.006161806426308492,0.005130099409930136,0.145747636655942,-0.1284747031330972,-0.009372276927316122,0.09428534424875791,-0.07770681962023879,0.11381553766058813,-0.08078392475790586,0.26638808325828006,-0.008329545178398595,0.15003123185302994,0.04705424963849887,0.08558719164004731,-0.045587863671911255,-0.04768364882511215,0.0037962273362700163,0.12801901434543403,0.02587343257795983,0.08018588619791439,-0.0705606629711311,-0.05988551264964957,0.0017616664447783418,0.13137658531969335,-0.0468909130598687,0.013424432028318589,-0.09286207184534764
Previous qualification (grade),-0.0027579572975496313,-0.03978356882979448,-0.06622997684912585,-0.006179131928461317,-0.0562277011734435,0.07156925532835333,0.10913466649928501,1.0,0.0031994340339452283,-0.032016058586006146,-0.011804089238518653,-0.01973734584225591,-0.027342827668404665,0.5470647905034796,0.010250725927520432,-0.005694496178997381,-0.045025910317677595,0.07463118025083175,-0.0652881064706065,0.08687852996577843,-0.16235591288318263,0.009674473848878623,-0.004031385385662866,0.028919085015193368,-0.05366756913241887,0.11265756242425903,0.08702330055056817,0.0020305162814649516,-0.0037165021708872527,0.043187968392336656,-0.039302216867111724,0.13088060573296423,0.09749850866407354,-0.009748838564918233,0.05212320603231219,0.03155986531380422,-0.056898120386404134,0.1423637760679338
Nacionality,0.003168650639151561,0.005428766878797319,0.0018403728017768967,-0.016383159005216964,-0.018322742782750086,0.00578449707374121,-0.009903204684394417,0.0031994340339452283,1.0,-0.0243085768685426,-0.04037287650667377,0.00910094752683318,0.005637399405670484,-0.006564409601505578,-0.012838010767868177,0.0017831908253801226,0.03580624088992608,-0.013226873834840946,-0.005308777310165728,-0.008497751477980568,0.022757447815530133,0.8189865546499339,0.006047439425745782,-0.009357213874281655,-0.0015826290382321456,-0.007887875453630224,-0.007382483236695897,0.008134432875647248,0.005801091110120381,-0.012640394460042866,-0.0012859832197353468,-0.008784263059187475,-0.005657841486934108,0.002878086023543549,0.0010514409156431148,0.0027183154204640353,0.021176728627705557,-0.005379468840057509
Mother's qualification,0.0011366983730641486,0.19801293004960996,0.17359224624409242,-0.06272024218959173,0.015509118589061177,-0.19985525027570378,0.001670250168161133,-0.032016058586006146,-0.0243085768685426,1.0,0.567173474675821,0.45628481057194403,0.06819883587740583,-0.04709479278776281,-0.08640426558589179,-0.015542926597221576,0.028842907336707323,-0.07079802514407896,-0.02041589141826918,0.03639964545742823,0.22715685873346042,-0.022723475709421494,0.017035659433638366,0.002142043321772116,0.024863865636727354,-0.08273214370841547,-0.07658622011862017,0.014453686206224243,0.018660500564278426,-0.009966984647911738,0.001947147215415106,-0.08459111549860679,-0.08432023472902794,0.017015889895592856,-0.12708367979035332,0.0686802575669034,-0.0995782371970296,-0.08607191083726425
